x	y	z	distance
546.78406	-99.71509	1285.7594	140.07474
546.78406	-99.71509	1285.7594	140.07474
545.6861	-98.26947	1286.4944	140.08919
545.6861	-98.26947	1286.4944	140.08919
546.10895	-98.363045	1286.9375	140.14702
546.4086	-98.369156	1287.2617	140.18849
546.4086	-98.369156	1287.2617	140.18849
551.22455	-101.51282	1290.5042	140.69664
551.0654	-101.48578	1290.1885	140.66124
551.0654	-101.48578	1290.1885	140.66124
549.7467	-102.28393	1285.8058	140.21341
549.87787	-102.32525	1286.1578	140.25113
550.81757	-103.051544	1287.3169	140.39958
550.8696	-103.079895	1287.481	140.41689
550.5421	-102.75322	1286.5529	140.31654
550.85077	-102.975815	1286.5378	140.3289
550.85077	-102.975815	1286.5378	140.3289
550.97437	-102.92047	1286.4761	140.3277
550.97437	-102.92047	1286.4761	140.3277
550.9791	-102.9211	1286.4932	140.32945
550.9791	-102.9211	1286.4932	140.32945
550.9791	-102.9211	1286.4932	140.32945
550.5114	-102.83958	1286.244	140.28764
550.7582	-102.7895	1286.94	140.36078
550.7582	-102.7895	1286.94	140.36078
550.9472	-102.975266	1286.9349	140.3691
550.9472	-102.975266	1286.9349	140.3691
550.8774	-103.183556	1286.7344	140.34949
550.8774	-103.183556	1286.7344	140.34949
550.9942	-103.16838	1286.9211	140.37108
550.9942	-103.16838	1286.9211	140.37108
550.8318	-103.18351	1286.4727	140.32372
550.9546	-103.161224	1286.7242	140.35144
550.9546	-103.161224	1286.7242	140.35144
550.9546	-103.161224	1286.7242	140.35144
550.9546	-103.161224	1286.7242	140.35144
551.20435	-103.20262	1286.9636	140.38348
551.3428	-103.20309	1286.6614	140.36122
551.1372	-102.950905	1286.4564	140.3325
551.52466	-103.5954	1287.6561	140.46245
550.73004	-103.49739	1286.7003	140.3429
550.73004	-103.49739	1286.7003	140.3429
550.39465	-103.457726	1286.6185	140.32195
550.4334	-103.53906	1286.9409	140.35364
550.4334	-103.53906	1286.9409	140.35364
550.60834	-103.77105	1287.4971	140.41321
550.60834	-103.77105	1287.4971	140.41321
