x	y	z	distance
630.7191	-178.94675	1312.2723	146.69312
630.6898	-178.93018	1312.1787	146.68329
630.2365	-179.48404	1311.3281	146.59448
630.31354	-179.50728	1311.492	146.61273
630.3999	-179.90146	1311.0007	146.57733
630.50446	-179.90527	1311.1895	146.59875
630.50446	-179.90527	1311.1895	146.59875
630.50446	-179.90527	1311.1895	146.59875
629.97015	-179.53452	1310.5315	146.51239
629.97015	-179.53452	1310.5315	146.51239
629.97766	-179.57968	1310.8678	146.54333
629.97766	-179.57968	1310.8678	146.54333
630.66315	-180.00732	1311.6128	146.6447
630.66315	-180.00732	1311.6128	146.6447
630.203	-179.99377	1310.4158	146.51768
629.7552	-179.57954	1310.209	146.47485
629.7552	-179.57954	1310.209	146.47485
629.7552	-179.57954	1310.209	146.47485
630.40076	-179.9671	1311.0253	146.58037
630.40076	-179.9671	1311.0253	146.58037
630.2964	-180.00253	1310.7709	146.55356
630.2964	-180.00253	1310.7709	146.55356
630.2964	-180.00253	1310.7709	146.55356
630.417	-179.97882	1311.0242	146.58112
630.3825	-179.98917	1310.952	146.5733
629.822	-179.7608	1310.2463	146.48328
629.60974	-179.41544	1311.081	146.5446
629.60974	-179.41544	1311.081	146.5446
629.60974	-179.41544	1311.081	146.5446
629.31506	-179.39354	1311.1256	146.53566
629.31506	-179.39354	1311.1256	146.53566
630.43616	-180.20532	1312.3296	146.70148
630.26965	-180.13213	1312.0177	146.66553
631.54785	-181.88242	1312.4792	146.78336
633.215	-183.64102	1312.1177	146.84474
633.215	-183.64102	1312.1177	146.84474
632.33765	-183.7393	1310.4052	146.65512
632.33765	-183.7393	1310.4052	146.65512
632.33765	-183.7393	1310.4052	146.65512
631.1877	-182.9043	1310.0402	146.56252
631.1877	-182.9043	1310.0402	146.56252
629.8872	-181.19101	1310.8221	146.5552
629.73914	-181.05447	1311.4784	146.60585
629.84106	-181.08145	1311.6892	146.62943
631.09827	-182.45314	1312.7448	146.79486
631.09827	-182.45314	1312.7448	146.79486
629.9603	-183.69177	1307.3918	146.2828
629.89307	-183.65512	1307.2539	146.26712
630.28314	-184.12001	1306.5056	146.2229
630.3836	-184.14581	1306.7122	146.24602
629.654	-183.72296	1306.4421	146.18513
629.53723	-183.67938	1306.2311	146.16069
629.53723	-183.67938	1306.2311	146.16069
628.5826	-182.75623	1306.1147	146.09763
628.3053	-182.38864	1306.8472	146.14659
628.3053	-182.38864	1306.8472	146.14659
629.5857	-183.5921	1307.8206	146.30376
629.5857	-183.5921	1307.8206	146.30376
630.30194	-184.62625	1306.8641	146.26215
630.35455	-184.95206	1306.3489	146.22249
630.35455	-184.95206	1306.3489	146.22249
629.8473	-184.5216	1307.0005	146.25342
629.8473	-184.5216	1307.0005	146.25342
629.8473	-184.5216	1307.0005	146.25342
629.2468	-184.47844	1306.9391	146.22153
629.2468	-184.47844	1306.9391	146.22153
630.74304	-185.45471	1309.2021	146.50053
630.74304	-185.45471	1309.2021	146.50053
631.30756	-187.23482	1306.9658	146.34772
631.4767	-187.55363	1307.0869	146.36993
631.4767	-187.55363	1307.0869	146.36993
631.074	-187.1643	1307.5027	146.3847
631.074	-187.1643	1307.5027	146.3847
630.53394	-186.89578	1308.0952	146.41093
630.53394	-186.89578	1308.0952	146.41093
630.53394	-186.89578	1308.0952	146.41093
630.8781	-187.34985	1308.3983	146.45863
630.8781	-187.34985	1308.3983	146.45863
630.8621	-187.40674	1308.4136	146.46004
630.11914	-187.36304	1307.2777	146.326
630.11914	-187.36304	1307.2777	146.326
628.9786	-186.82838	1306.9431	146.24019
628.9786	-186.82838	1306.9431	146.24019
628.9786	-186.82838	1306.9431	146.24019
626.5491	-185.47766	1306.7955	146.10544
625.88367	-185.42772	1307.1035	146.10385
625.88367	-185.42772	1307.1035	146.10385
626.09564	-186.51414	1307.3236	146.14644
624.5505	-186.07892	1305.1587	145.88104
624.5505	-186.07892	1305.1587	145.88104
623.4476	-184.80566	1306.0056	145.89348
623.4476	-184.80566	1306.0056	145.89348
619.2392	-183.56439	1306.3624	145.73044
619.2392	-183.56439	1306.3624	145.73044
615.92865	-182.46536	1306.8707	145.62187
615.92865	-182.46536	1306.8707	145.62187
615.7462	-181.18196	1304.8494	145.41672
615.7462	-181.18196	1304.8494	145.41672
619.9987	-182.06589	1306.8102	145.78406
619.9987	-182.06589	1306.8102	145.78406
622.3281	-179.64354	1301.8262	145.40686
622.3281	-179.64354	1301.8262	145.40686
624.7271	-174.2796	1298.4486	145.14221
624.7271	-174.2796	1298.4486	145.14221
624.59204	-167.40024	1304.1292	145.56412
614.62195	-158.99478	1303.161	144.95752
614.82074	-159.03223	1303.5586	145.0021
614.82074	-159.03223	1303.5586	145.0021
607.31854	-150.7565	1297.1119	144.01607
607.559	-150.8084	1297.5939	144.07016
605.47565	-144.11757	1293.6858	143.56161
605.47565	-144.11757	1293.6858	143.56161
601.7849	-136.08008	1292.1434	143.1886
601.4944	-136.02551	1291.5798	143.12502
593.6006	-127.55292	1288.2582	142.4163
585.2103	-121.10068	1286.0552	141.81236
585.0812	-121.04292	1285.7001	141.77434
585.0812	-121.04292	1285.7001	141.77434
576.7936	-116.70767	1281.1781	140.98685
571.7599	-112.65847	1288.7224	141.43575
571.36414	-112.62526	1287.7888	141.33441
571.36414	-112.62526	1287.7888	141.33441
558.39124	-109.51631	1287.8181	140.79312
558.2319	-109.4843	1287.4451	140.75243
540.9523	-109.67422	1288.094	140.13722
521.57855	-113.76911	1294.4297	140.01912
521.75244	-113.84019	1294.9717	140.0763
497.9806	-118.67257	1289.671	138.75587
497.9806	-118.67257	1289.671	138.75587
479.81876	-125.68178	1296.5872	138.8222
479.97867	-125.73813	1296.9355	138.86078
457.87457	-133.69577	1296.5687	138.1526
457.87457	-133.69577	1296.5687	138.1526
435.33475	-142.61588	1308.3523	138.62329
435.58774	-142.70735	1309.353	138.72662
410.43912	-152.24278	1330.3767	140.05501
410.70132	-152.3602	1331.4397	140.16493
379.15982	-155.27478	1335.1892	139.66399
379.51715	-155.4255	1336.4441	139.79532
346.79095	-158.8408	1331.0175	138.45944
347.25824	-159.06961	1332.6963	138.63516
347.25824	-159.06961	1332.6963	138.63516
317.73022	-166.4426	1340
