speedXKp	0.002	speedXYKp	0.002
avgX	avgY	distance	altitude	speedX	speedY	speedZ
x	y	z	distance
172.51035	-34.159523	1203.667	121.6446
166.67728	-34.01524	1214.8599	122.67122
166.72774	-34.050255	1215.1782	122.70353
157.37798	-39.17772	1212.6399	122.34371
151.31046	-42.342484	1201.9445	121.21708
151.38637	-42.34804	1202.5071	121.273834
145.30618	-39.75115	1200.6556	121.006935
145.30618	-39.75115	1200.6556	121.006935
137.96663	-35.558872	1200.7362	120.91594
137.9814	-35.53742	1200.9244	120.934746
131.44876	-33.852417	1199.8049	120.74587
131.44876	-33.852417	1199.8049	120.74587
126.170586	-34.137608	1196.8704	120.398636
126.170586	-34.137608	1196.8704	120.398636
124.21899	-35.94348	1195.1396	120.211525
124.26324	-35.95376	1195.4397	120.241844
124.26324	-35.95376	1195.4397	120.241844
124.26324	-35.95376	1195.4397	120.241844
122.06096	-42.51257	1203.823	121.07418
116.25739	-49.677994	1205.1577	121.17709
108.676636	-53.89986	1201.5396	120.764786
108.676636	-53.89986	1201.5396	120.764786
100.74683	-57.338596	1201.6384	120.72169
100.74683	-57.338596	1201.6384	120.72169
93.22038	-61.468433	1200.3982	120.55805
93.24977	-61.470825	1200.7114	120.58948
88.444176	-65.21141	1194.2787	119.932335
88.444176	-65.21141	1194.2787	119.932335
87.483025	-67.01778	1189.9545	119.504654
87.45073	-66.26376	1191.3259	119.63678
87.45073	-66.26376	1191.3259	119.63678
89.847626	-64.79587	1196.1787	120.1297
89.847626	-64.79587	1196.1787	120.1297
98.89159	-63.408577	1205.3319	121.10431
98.89159	-63.408577	1205.3319	121.10431
98.89159	-63.408577	1205.3319	121.10431
106.21682	-61.939396	1202.5356	120.88053
106.18002	-61.86893	1202.031	120.82965
109.13054	-60.18303	1198.9658	120.542534
110.3139	-58.391617	1199.3818	120.585884
110.3139	-58.391617	1199.3818	120.585884
111.36768	-56.66925	1200.5715	120.70569
111.36768	-56.66925	1200.5715	120.70569
111.14883	-55.70253	1200.1045	120.6527
111.14883	-55.70253	1200.1045	120.6527
111.14883	-55.70253	1200.1045	120.6527
110.66498	-53.797222	1201.7644	120.80475
109.90985	-51.825966	1202.8435	120.89659
